,No,B.Mudurluk,I.Mudurluk,I.Seflik,Il,Ilce,Day,Month,Year,Time,AnaNeden,TaliNeden,YananOrtu,YananTepe,YananAlan,Sicaklik,Dogu,Kuzey,Lon,Lat
6546,6546,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,19,9,2015,14:00,Mechul,Mechul,0.2,0,0.2,26,27 17 50,41 31 59,27.29722222,41.53305556
6547,6547,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,2,8,2016,17:22,Dogal Yildirim,Dogal/Yildirim,0.2,0,0.2,38,27 22 04,41 52 48,27.36777778,41.88
6548,6548,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,7,9,2016,13:05,Mechul,Mechul,0.1,0,0.1,30,27 17 48,41 34 11,27.29666667,41.56972222
6549,6549,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,9,9,2016,12:21,Mechul,Mechul,0.2,0,0.2,0,27 15 59,41 50 17,27.26638889,41.83805556
6550,6550,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,19,11,2016,18:15,Mechul,Mechul,0.09,0,0.09,10,27 03 38,41 53 05,27.06055556,41.88472222
6551,6551,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,28,3,2017,17:38,Mechul,Mechul,0.3,0,0.3,15,27 00 32,41 38 35,27.00888889,41.64305556
6552,6552,ISTANBUL,KIRKLARELI,KIRKLARELI,Kirklareli,Merkez,30,3,2017,12:50,Mechul,Mechul,0.2,0,0.2,20,27 02 19,41 52 21,27.03861111,41.8725
6553,6553,ISTANBUL,KIRKLARELI,KIRAZPINAR,Kirklareli,Kofcaz,31,8,2015,16:10,Mechul,Mechul,0.5,0,0.5,33,27 16 17,41 56 01,27.27138889,41.93361111
6554,6554,ISTANBUL,KIRKLARELI,KIRAZPINAR,Kirklareli,Merkez,5,4,2016,21:20,Mechul,Mechul,0.1,0,0.1,19,27 22 32,41 57 30,27.37555556,41.95833333
6555,6555,ISTANBUL,KIRKLARELI,KIRAZPINAR,Kirklareli,Merkez,8,4,2016,16:53,Kasit,Kundaklama,0.31,0,0.31,21,27 21 30,42 00 07,27.35833333,42.00194444
6556,6556,ISTANBUL,KIRKLARELI,KIRAZPINAR,Kirklareli,Kofcaz,18,8,2016,11:24,Mechul,Mechul,0.02,0,0.02,34,27 17 54,41 59 19,27.29833333,41.98861111
6557,6557,ISTANBUL,KIRKLARELI,KOFCAZ,Kirklareli,Kofcaz,5,10,2013,16:30,Mechul,Mechul,1,0,1,13,27 03 39,42 03 34,27.06083333,42.05944444
6558,6558,ISTANBUL,KIRKLARELI,KOFCAZ,Kirklareli,Kofcaz,13,8,2015,14:40,Mechul,Mechul,3,1,4,35,27 06 42,41 58 34,27.11166667,41.97611111
6559,6559,ISTANBUL,KIRKLARELI,KOFCAZ,Kirklareli,Kofcaz,16,8,2015,14:46,Mechul,Mechul,0.4,0,0.4,31,26 58 41,42 00 16,26.97805556,42.00444444
6560,6560,ISTANBUL,KIRKLARELI,KOFCAZ,Kirklareli,Kofcaz,23,7,2017,12:25,Mechul,Mechul,0.5,0,0.5,33,27 09 17,41 55 20,27.15472222,41.92222222
6561,6561,ISTANBUL,KIRKLARELI,LULEBURGAZ,Kirklareli,Luleburgaz,21,5,2015,19:50,Mechul,Mechul,1,0,1,0,27 19 28,41 32 56,27.32444444,41.54888889
6562,6562,ISTANBUL,KIRKLARELI,LULEBURGAZ,Kirklareli,Luleburgaz,2,8,2016,14:15,Mechul,Mechul,1.1,0,1.1,36,27 29 15,41 28 11,27.4875,41.46972222
6563,6563,ISTANBUL,KIRKLARELI,LULEBURGAZ,Kirklareli,Babaeski,9,9,2016,17:03,Mechul,Mechul,1,0,1,0,27 13 51,41 28 34,27.23083333,41.47611111
6564,6564,ISTANBUL,KIRKLARELI,LULEBURGAZ,Kirklareli,Luleburgaz,6,7,2017,18:25,Mechul,Mechul,0.5,0,0.5,30,27 22 32,41 29 34,27.37555556,41.49277778
6565,6565,ISTANBUL,KIRKLARELI,PINARHISAR,Kirklareli,Pinarhisar,11,4,2016,11:15,Mechul,Mechul,0.01,0,0.01,0,27 32 00,41 42 53,27.53333333,41.71472222
6566,6566,ISTANBUL,KIRKLARELI,PINARHISAR,Kirklareli,Pinarhisar,18,4,2016,19:25,Mechul,Mechul,0.12,0,0.12,0,27 39 27,41 42 03,27.6575,41.70083333
6567,6567,ISTANBUL,KIRKLARELI,PINARHISAR,Kirklareli,Pinarhisar,12,7,2016,14:45,Ihmal Dikkatsizlik,Coban Atesi,1,0,1,28,27 29 59,41 44 00,27.49972222,41.73333333
6568,6568,ISTANBUL,KIRKLARELI,PINARHISAR,Kirklareli,Pinarhisar,15,9,2017,14:00,Mechul,Mechul,1,0,1,31,27 31 28,41 40 26,27.52444444,41.67388889
6569,6569,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Merkez,10,8,2013,16:05,Mechul,Mechul,3.3,1,4.3,34,27 18 40,41 44 13,27.31111111,41.73694444
6570,6570,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Merkez,14,8,2013,17:40,Ihmal Dikkatsizlik,Piknik Atesi,3.2,0,3.2,29,27 18 13,41 44 05,27.30361111,41.73472222
6571,6571,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Merkez,15,7,2016,16:05,Mechul,Mechul,1,0,1,31,27 18 51,41 42 59,27.31416667,41.71638889
6572,6572,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Demirkoy,3,9,2016,15:40,Mechul,Mechul,0.3,0,0.3,28,27 20 09,41 41 47,27.33583333,41.69638889
6573,6573,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Merkez,15,9,2016,12:20,Mechul,Mechul,0.1,0,0.1,30,27 55 47,41 07 05,27.92972222,41.11805556
6574,6574,ISTANBUL,KIRKLARELI,USKUP,Kirklareli,Merkez,19,5,2017,15:50,Mechul,Mechul,0.02,0,0.02,19,27 24 40,41 49 22,27.41111111,41.82277778
6575,6575,ISTANBUL,SILE,AGVA,Istanbul,Sile,21,8,2013,15:40,Ihmal Dikkatsizlik,Piknik Atesi,0.03,0,0.03,28,29 49 13,41 06 24,29.82027778,41.10666667
6576,6576,ISTANBUL,SILE,AGVA,Istanbul,Sile,15,6,2014,16:20,Mechul,Mechul,0.06,0,0.06,11,29 41 59,41 08 05,29.69972222,41.13472222
6577,6577,ISTANBUL,SILE,MERCANKOSK,Istanbul,Sile,9,4,2016,18:20,Mechul,Mechul,0.1,0,0.1,22,29 38 51,41 07 18,29.6475,41.12166667
6578,6578,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,24,6,2013,22:50,Ihmal Dikkatsizlik,Coban Atesi,0.1,0,0.1,25,29 28 41,41 11 06,29.47805556,41.185
6579,6579,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,9,8,2013,15:45,Mechul,Mechul,0.1,0,0.1,30,29 32 17,41 09 56,29.53805556,41.16555556
6580,6580,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,2,9,2013,20:30,Mechul,Mechul,0.01,0,0.01,22,29 25 07,41 11 24,29.41861111,41.19
6581,6581,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,9,9,2013,09:55,Mechul,Mechul,0.2,0,0.2,22,29 31 32,41 10 15,29.52555556,41.17083333
6582,6582,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,11,7,2014,11:41,Ihmal Dikkatsizlik,Piknik Atesi,0,0,0,30,29 28 52,41 07 05,29.48111111,41.11805556
6583,6583,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,17,8,2014,20:23,Mechul,Mechul,0,0,0,23,29 32 17,41 10 34,29.53805556,41.17611111
6584,6584,ISTANBUL,SILE,SAHILKOY,Istanbul,Sile,14,4,2016,12:38,Mechul,Mechul,0.2,0,0.2,23,29 32 29,41 08 37,29.54138889,41.14361111
6585,6585,ISTANBUL,SILE,SILE,Istanbul,Sile,19,3,2013,16:20,Ihmal Dikkatsizlik,-,0.04,0,0.04,14,29 37 27,41 07 18,29.62416667,41.12166667
6586,6586,ISTANBUL,SILE,SILE,Istanbul,Sile,19,7,2013,22:00,Ihmal Dikkatsizlik,Diger,0.1,0,0.1,29,29 37 50,41 09 13,29.63055556,41.15361111
6587,6587,ISTANBUL,SILE,SILE,Istanbul,Sile,15,9,2013,12:00,Mechul,Mechul,0.1,0,0.1,24,29 38 05,41 06 49,29.63472222,41.11361111
6588,6588,ISTANBUL,SILE,SILE,Istanbul,Sile,27,5,2014,10:10,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,22,29 40 16,41 04 53,29.67111111,41.08138889
6589,6589,ISTANBUL,SILE,SILE,Istanbul,Sile,22,5,2015,16:48,Mechul,Mechul,0.02,0,0.02,23,29 39 04,41 09 07,29.65111111,41.15194444
6590,6590,ISTANBUL,SILE,YESILVADI,Istanbul,Sile,31,3,2013,12:30,Ihmal Dikkatsizlik,-,2,0,2,24,29 29 24,41 09 29,29.49,41.15805556
6591,6591,ISTANBUL,SILE,YESILVADI,Istanbul,Sile,19,3,2014,12:00,Ihmal Dikkatsizlik,Aniz,4,1,5,15,29 26 46,41 04 54,29.44611111,41.08166667
6592,6592,ISTANBUL,SILE,YESILVADI,Istanbul,Sile,1,2,2015,15:50,Kaza,Elektrik,0.8,0,0.8,18,29 28 55,41 07 27,29.48194444,41.12416667
6593,6593,ISTANBUL,SILE,YESILVADI,Istanbul,Sile,17,4,2016,19:00,Ihmal Dikkatsizlik,Piknik Atesi,0.1,0,0.1,30,29 33 13,41 02 53,29.55361111,41.04805556
6594,6594,ISTANBUL,SILE,YESILVADI,Istanbul,Sile,17,4,2017,00:30,Mechul,Mechul,0.5,0,0.5,17,29 28 31,41 03 40,29.47527778,41.06111111
6595,6595,ISTANBUL,TEKIRDAG,BAHCEKOY,Tekirdag,Saray,17,12,2015,10:00,Ihmal Dikkatsizlik,Piknik Atesi,0.2,0,0.2,10,27 58 51,41 34 49,27.98083333,41.58027778
6596,6596,ISTANBUL,TEKIRDAG,CERKEZKOY,Tekirdag,Corlu,27,7,2013,17:05,Mechul,Mechul,0.5,0.2,0.7,27,28 00 36,41 10 18,28.01,41.17166667
6597,6597,ISTANBUL,TEKIRDAG,CERKEZKOY,Tekirdag,Cerkezkoy,5,11,2013,18:10,Mechul,Mechul,0.1,0,0.1,22,28 02 27,41 21 38,28.04083333,41.36055556
6598,6598,ISTANBUL,TEKIRDAG,CERKEZKOY,Tekirdag,Cerkezkoy,4,4,2015,14:30,Ihmal Dikkatsizlik,Piknik Atesi,0.5,0,0.5,14,27 58 22,41 13 30,27.97277778,41.225
6599,6599,ISTANBUL,TEKIRDAG,CERKEZKOY,Tekirdag,Cerkezkoy,27,3,2016,19:30,Ihmal Dikkatsizlik,Piknik Atesi,0.3,0,0.3,7,27 58 23,41 13 49,27.97305556,41.23027778
6600,6600,ISTANBUL,TEKIRDAG,CERKEZKOY,Tekirdag,Cerkezkoy,13,6,2016,18:02,Ihmal Dikkatsizlik,Aniz,0.2,0,0.2,0,28 00 31,41 15 29,28.00861111,41.25805556
6601,6601,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Hayrabolu,26,8,2013,14:02,Mechul,Mechul,0.01,0,0.01,33,27 12 13,41 07 21,27.20361111,41.1225
6602,6602,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,10,9,2015,12:30,Dogal Yildirim,Dogal/Yildirim,0,0.5,0.5,28,27 07 01,40 57 25,27.11694444,40.95694444
6603,6603,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,3,4,2016,16:20,Mechul,Mechul,0.02,0,0.02,17,27 08 01,40 56 21,27.13361111,40.93916667
6604,6604,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,8,4,2016,15:30,Mechul,Mechul,7,0,7,28,26 53 28,40 48 34,26.89111111,40.80944444
6605,6605,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,16,5,2016,16:10,Mechul,Mechul,0.1,0,0.1,20,26 50 13,40 46 51,26.83694444,40.78083333
6606,6606,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,24,7,2016,12:00,Mechul,Mechul,0.03,0,0.03,33,26 53 39,41 05 45,26.89416667,41.09583333
6607,6607,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,31,7,2016,16:25,Mechul,Mechul,0.5,0,0.5,33,27 10 50,41 05 00,27.18055556,41.08333333
6608,6608,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,4,9,2016,15:30,Mechul,Mechul,0.5,0,0.5,30,27 07 43,40 57 55,27.12861111,40.96527778
6609,6609,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,18,9,2016,11:00,Mechul,Mechul,0,1,1,30,27 08 55,40 47 45,27.14861111,40.79583333
6610,6610,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,1,4,2017,14:20,Mechul,Mechul,0.5,0,0.5,12,26 51 03,40 54 21,26.85083333,40.90583333
6611,6611,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,9,7,2017,14:08,Ihmal Dikkatsizlik,Aniz,0.07,0,0.07,31,27 02 39,40 46 59,27.04416667,40.78305556
6612,6612,ISTANBUL,TEKIRDAG,MALKARA,Tekirdag,Malkara,7,8,2017,22:30,Mechul,Mechul,0.02,0,0.02,28,26 49 50,40 46 53,26.83055556,40.78138889
6613,6613,ISTANBUL,TEKIRDAG,SARAY,Tekirdag,Saray,9,4,2016,17:30,Mechul,Mechul,3,0,3,20,27 57 59,41 33 26,27.96638889,41.55722222
6614,6614,ISTANBUL,TEKIRDAG,SARAY,Tekirdag,Saray,30,3,2017,14:50,Mechul,Mechul,0.7,0,0.7,21,28 02 32,41 25 53,28.04222222,41.43138889
6615,6615,ISTANBUL,TEKIRDAG,SARAY,Tekirdag,Saray,30,3,2017,19:50,Mechul,Mechul,0.4,0,0.4,21,27 57 05,41 30 56,27.95138889,41.51555556
6616,6616,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,17,8,2013,15:15,Mechul,Mechul,0,0.5,0.5,29,27 21 37,40 47 15,27.36027778,40.7875
6617,6617,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,25,8,2013,14:45,Mechul,Mechul,0,1,1,29,26 59 20,40 34 03,26.98888889,40.5675
6618,6618,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,22,10,2014,10:50,Ihmal Dikkatsizlik,Piknik Atesi,2,0,2,17,27 21 45,40 46 45,27.3625,40.77916667
6619,6619,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,14,4,2015,11:40,Mechul,Mechul,0.3,0,0.3,12,27 11 00,40 41 21,27.18333333,40.68916667
6620,6620,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,21,9,2015,13:40,Mechul,Mechul,0.5,0,0.5,23,27 14 53,40 45 46,27.24805556,40.76277778
6621,6621,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,1,8,2016,10:30,Mechul,Mechul,0.5,0,0.5,29,27 16 51,40 44 56,27.28083333,40.74888889
6622,6622,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,4,8,2016,17:30,Ihmal Dikkatsizlik,Copluk,25.31,0,25.31,29,27 13 30,40 42 07,27.225,40.70194444
6623,6623,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,17,8,2016,12:32,Mechul,Mechul,0.5,0,0.5,29,27 08 24,40 40 18,27.14,40.67166667
6624,6624,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,5,7,2017,11:45,Mechul,Mechul,1.5,0,1.5,27,27 09 17,40 41 15,27.15472222,40.6875
6625,6625,ISTANBUL,TEKIRDAG,SARKOY,Tekirdag,Sarkoy,10,7,2017,19:15,Mechul,Mechul,0.1,0,0.1,27,27 02 50,40 40 45,27.04722222,40.67916667
6626,6626,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,9,7,2013,14:00,Mechul,Mechul,0.02,0,0.02,30,27 35 17,40 59 54,27.58805556,40.99833333
6627,6627,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,18,7,2013,17:00,Mechul,Mechul,0,3,3,0,27 18 50,41 01 02,27.31388889,41.01722222
6628,6628,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,10,8,2013,14:45,Mechul,Mechul,0.05,0,0.05,30,27 34 55,40 59 22,27.58194444,40.98944444
6629,6629,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,12,8,2013,12:10,Mechul,Mechul,0.25,0,0.25,30,27 12 55,40 46 37,27.21527778,40.77694444
6630,6630,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,21,7,2014,02:30,Ihmal Dikkatsizlik,Piknik Atesi,0.01,0,0.01,22,27 27 20,40 52 02,27.45555556,40.86722222
6631,6631,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,16,6,2015,10:35,Mechul,Mechul,0.02,0,0.02,31,27 27 13,40 52 13,27.45361111,40.87027778
6632,6632,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,16,9,2015,11:50,Mechul,Mechul,0.3,0,0.3,26,27 17 16,40 57 20,27.28777778,40.95555556
6633,6633,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,31,12,2015,03:30,Mechul,Mechul,1,0,1,0,27 27 17,40 50 49,27.45472222,40.84694444
6634,6634,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,7,7,2016,14:20,Mechul,Mechul,0.02,0,0.02,28,27 25 53,40 58 38,27.43138889,40.97722222
6635,6635,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,24,7,2016,15:35,Ihmal Dikkatsizlik,Aniz,0.08,0,0.08,30,27 25 36,40 49 51,27.42666667,40.83083333
6636,6636,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,25,7,2016,08:01,Ihmal Dikkatsizlik,Coban Atesi,0.01,0,0.01,31,27 27 17,40 51 02,27.45472222,40.85055556
6637,6637,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,3,8,2016,17:32,Kaza,Diger,0.1,0,0.1,31,27 23 20,40 50 56,27.38888889,40.84888889
6638,6638,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,14,8,2016,14:50,Mechul,Mechul,2,0,2,28,27 24 24,40 55 56,27.40666667,40.93222222
6639,6639,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,7,9,2016,15:02,Mechul,Mechul,0.5,0,0.5,30,27 23 51,40 55 56,27.3975,40.93222222
6640,6640,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,9,11,2016,13:39,Mechul,Mechul,0.3,0,0.3,20,27 18 43,40 54 40,27.31194444,40.91111111
6641,6641,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,12,4,2017,17:04,Mechul,Mechul,0.3,0,0.3,13,27 08 36,40 57 00,27.14333333,40.95
6642,6642,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,13,4,2017,18:55,Mechul,Mechul,0.05,0,0.05,12,27 12 36,40 48 15,27.21,40.80416667
6643,6643,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,13,4,2017,18:55,Mechul,Mechul,0.5,0,0.5,12,27 12 43,40 48 45,27.21194444,40.8125
6644,6644,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,4,7,2017,15:55,Mechul,Mechul,0.02,0,0.02,35,27 27 24,40 51 22,27.45666667,40.85611111
6645,6645,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,13,7,2017,14:20,Mechul,Mechul,1,1.4,2.4,29,27 23 35,40 55 37,27.39305556,40.92694444
6646,6646,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,6,8,2017,12:40,Mechul,Mechul,2.7,0,2.7,34,27 27 09,40 50 49,27.4525,40.84694444
6647,6647,ISTANBUL,TEKIRDAG,TEKIRDAG,Tekirdag,Merkez,12,9,2017,11:55,Ihmal Dikkatsizlik,Piknik Atesi,1.68,0.52,2.2,32,27 27 20,40 51 16,27.45555556,40.85444444
6648,6648,ISTANBUL,VIZE,KOMURKOY,Kirklareli,Vize,27,7,2015,15:37,Mechul,Mechul,0.02,0,0.02,37,27 49 40,41 35 15,27.82777778,41.5875
6649,6649,ISTANBUL,VIZE,KOMURKOY,Kirklareli,Vize,28,8,2015,13:10,Mechul,Mechul,1.3,0,1.3,32,27 52 13,41 34 28,27.87027778,41.57444444
6650,6650,ISTANBUL,VIZE,KOMURKOY,Kirklareli,Vize,3,8,2016,16:00,Mechul,Mechul,0.5,0,0.5,31,27 53 59,41 37 51,27.89972222,41.63083333
6651,6651,ISTANBUL,VIZE,KOMURKOY,Kirklareli,Vize,5,3,2017,16:26,Mechul,Mechul,0.1,0,0.1,19,27 51 55,41 37 34,27.86527778,41.62611111
6652,6652,ISTANBUL,VIZE,MIDYE,Kirklareli,Vize,10,4,2014,13:05,Dogal Yildirim,Dogal/Yildirim,0.07,0,0.07,0,27 50 17,41 39 29,27.83805556,41.65805556
6653,6653,ISTANBUL,VIZE,MIDYE,Kirklareli,Vize,5,4,2016,20:00,Mechul,Mechul,0.7,0,0.7,0,28 00 01,41 40 37,28.00027778,41.67694444
6654,6654,ISTANBUL,VIZE,SERGEN,Kirklareli,Vize,13,9,2017,12:08,Kaza,Diger,0.04,0,0.04,32,27 44 35,41 42 03,27.74305556,41.70083333
6655,6655,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,17,8,2013,12:50,Mechul,Mechul,0.1,0,0.1,32,27 41 35,41 37 59,27.69305556,41.63305556
6656,6656,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,8,4,2014,17:50,Mechul,Mechul,0.5,0,0.5,7,27 48 00,41 36 03,27.8,41.60083333
6657,6657,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,18,7,2015,15:35,Ihmal Dikkatsizlik,Piknik Atesi,0.05,0,0.05,32,27 39 17,41 36 49,27.65472222,41.61361111
6658,6658,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,29,7,2015,15:48,Mechul,Mechul,0.6,0,0.6,36,27 47 54,41 34 29,27.79833333,41.57472222
6659,6659,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,31,8,2015,15:25,Mechul,Mechul,0.7,0,0.7,36,27 42 17,41 32 07,27.70472222,41.53527778
6660,6660,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,13,9,2016,15:02,Ihmal Dikkatsizlik,Piknik Atesi,0.05,0,0.05,45,27 47 20,41 34 30,27.78888889,41.575
6661,6661,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,25,3,2017,16:27,Mechul,Mechul,0.27,0,0.27,12,27 38 09,41 34 43,27.63583333,41.57861111
6662,6662,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,5,5,2017,20:05,Mechul,Mechul,0.06,0,0.06,26,27 59 43,41 50 49,27.99527778,41.84694444
6663,6663,ISTANBUL,VIZE,VIZE,Kirklareli,Vize,26,9,2017,14:00,Mechul,Mechul,0.19,0,0.19,36,27 40 32,41 33 15,27.67555556,41.55416667
6664,6664,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,24,6,2013,13:20,Kaza,Elektrik,0,2,2,38,27 52 13,38 53 32,27.87027778,38.89222222
6665,6665,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,8,7,2013,18:08,Ihmal Dikkatsizlik,Sigara,0,2,2,33,27 52 42,39 00 32,27.87833333,39.00888889
6666,6666,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,4,8,2013,13:39,Ihmal Dikkatsizlik,Sigara,0,0.1,0.1,37,27 52 16,38 53 40,27.87111111,38.89444444
6667,6667,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,28,8,2013,16:15,Ihmal Dikkatsizlik,Aniz,0,1.2,1.2,35,27 56 12,38 55 20,27.93666667,38.92222222
6668,6668,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,3,9,2013,19:45,Ihmal Dikkatsizlik,Sigara,0.02,0,0.02,27,27 56 01,38 55 34,27.93361111,38.92611111
6669,6669,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,5,10,2013,12:40,Ihmal Dikkatsizlik,Sigara,0.02,0,0.02,14,27 53 48,39 03 48,27.89666667,39.06333333
6670,6670,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,5,11,2013,14:25,Ihmal Dikkatsizlik,Coban Atesi,0.12,0,0.12,15,27 54 17,39 03 53,27.90472222,39.06472222
6671,6671,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,8,11,2013,19:45,Ihmal Dikkatsizlik,Diger,0.1,0,0.1,18,27 59 12,39 02 46,27.98666667,39.04611111
6672,6672,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,9,11,2013,16:45,Ihmal Dikkatsizlik,Sigara,0.07,0,0.07,18,27 54 40,39 04 54,27.91111111,39.08166667
6673,6673,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,20,3,2014,18:20,Ihmal Dikkatsizlik,Sigara,0.05,0,0.05,20,27 58 27,39 01 40,27.97416667,39.02777778
6674,6674,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,31,3,2014,14:00,Ihmal Dikkatsizlik,Coban Atesi,0.01,0,0.01,21,28 01 13,39 02 10,28.02027778,39.03611111
6675,6675,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,22,6,2014,19:15,Ihmal Dikkatsizlik,Sigara,0,0,0,27,27 48 51,39 04 09,27.81416667,39.06916667
6676,6676,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,6,7,2014,14:45,Ihmal Dikkatsizlik,Aniz,0.3,0,0.3,32,27 04 56,38 02 51,27.08222222,38.0475
6677,6677,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,21,7,2014,15:25,Ihmal Dikkatsizlik,Copluk,0,8.1,8.1,34,27 39 23,38 55 47,27.65638889,38.92972222
6678,6678,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,24,8,2014,13:16,Ihmal Dikkatsizlik,Sigara,0,7.8,7.8,33,27 50 32,39 04 52,27.84222222,39.08111111
6679,6679,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,29,8,2014,22:43,Ihmal Dikkatsizlik,Sigara,0.13,0,0.13,0,27 51 29,39 00 46,27.85805556,39.01277778
6680,6680,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,13,9,2014,12:28,Ihmal Dikkatsizlik,Sigara,0.03,0,0.03,0,27 52 15,38 53 45,27.87083333,38.89583333
6681,6681,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,19,9,2014,20:05,Ihmal Dikkatsizlik,Sigara,0,0.4,0.4,15,27 57 39,38 55 37,27.96083333,38.92694444
6682,6682,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,23,9,2014,11:50,Kaza,Trafik,20,60,80,30,27 54 50,38 59 15,27.91388889,38.9875
6683,6683,IZMIR,AKHISAR,AKHISAR,Manisa,Akhisar,5,4,2015,21:29,Ihmal Dikkatsizlik,Aniz,0.5,0,0.5,21,27 54 02,39 05 02,27.90055556,39.08388889
